eta,iters,conv,stable
0.02,165.0,True,True
0.04,83.0,True,True
0.06,55.0,True,True
0.08,40.0,True,True
0.1,31.0,True,True
0.12000000000000001,25.0,True,True
0.13999999999999999,20.0,True,True
0.16,17.0,True,True
0.18,14.0,True,True
0.19999999999999998,11.0,True,True
0.22,9.0,True,True
0.24,6.0,True,True
0.26,7.0,True,True
0.28,9.0,True,True
0.30000000000000004,12.0,True,True
0.32,14.0,True,True
0.34,18.0,True,True
0.36000000000000004,22.0,True,True
0.38,27.0,True,True
0.4,34.0,True,True
0.42000000000000004,45.0,True,True
0.44,62.0,True,True
0.46,97.0,True,True
0.48000000000000004,203.0,True,True
0.5,,False,False
0.52,,False,False
0.54,,False,False
0.56,,False,False
0.5800000000000001,,False,False
0.6,,False,False
0.62,,False,False
0.64,,False,False
0.66,,False,False
0.68,,False,False
0.7000000000000001,,False,False
0.7200000000000001,,False,False
0.74,,False,False
0.76,,False,False
0.78,,False,False
0.8,,False,False
0.8200000000000001,,False,False
0.8400000000000001,,False,False
0.86,,False,False
0.88,,False,False
0.9,,False,False
0.92,,False,False
0.9400000000000001,,False,False
0.9600000000000001,,False,False
0.98,,False,False
1.0,,False,False
1.02,,False,False
1.04,,False,False
1.06,,False,False
1.08,,False,False
1.1,,False,False
1.12,,False,False
1.1400000000000001,,False,False
1.1600000000000001,,False,False
1.18,,False,False
1.2,,False,False
